检测框序号	行识别结果	检测框坐标
70	2009	1830,2220,1948,2220,1948,2261,1830,2261
71	Economics	375,2293,623,2293,623,2335,375,2335
72	A, B 	1063,2297,1162,2297,1162,2338,1063,2338
73	A, C 	1343,2297,1443,2297,1443,2338,1343,2338
74	A, C 	1624,2297,1724,2297,1724,2338,1624,2338
75	A, C 	1905,2297,2004,2297,2004,2338,1905,2338
76	International relations	375,2364,907,2364,907,2406,375,2406
77	A, E 	1064,2368,1161,2368,1161,2409,1064,2409
78	A, E 	1345,2368,1441,2368,1441,2409,1345,2409
79	A, B 	1625,2368,1723,2368,1723,2409,1625,2409
80	A, B 	1905,2368,2004,2368,2004,2409,1905,2409
81	Philosophy	375,2435,632,2435,632,2476,375,2476
82	A 	1092,2438,1133,2438,1133,2480,1092,2480
83	A 	1373,2438,1413,2438,1413,2480,1373,2480
84	A 	1654,2438,1694,2438,1694,2480,1654,2480
85	A 	1934,2438,1975,2438,1975,2480,1934,2480
86	Politics	375,2506,545,2506,545,2547,375,2547
87	A, D 	1061,2509,1164,2509,1164,2551,1061,2551
88	A, D 	1342,2509,1444,2509,1444,2551,1342,2551
89	A, B 	1625,2509,1723,2509,1723,2551,1625,2551
90	A 	1934,2509,1975,2509,1975,2551,1934,2551
91	Mathematics	375,2577,673,2577,673,2618,375,2618
92	B, C 	1063,2580,1162,2580,1162,2622,1063,2622
93	B 	1373,2580,1413,2580,1413,2622,1373,2622
94	A, B 	1625,2580,1723,2580,1723,2622,1625,2622
95	A, B 	1905,2580,2004,2580,2004,2622,1905,2622
96	English	375,2647,545,2647,545,2689,375,2689
97	A, C 	1063,2651,1162,2651,1162,2692,1063,2692
98	A, B 	1344,2651,1442,2651,1442,2692,1344,2692
99	A,B 	1632,2651,1716,2651,1716,2692,1632,2692
100	A, C 	1905,2651,2004,2651,2004,2692,1905,2692
101	Table 24: year-end financial statement (£, thousands)	375,324,1772,324,1772,370,375,370
102	Table 25: setting column and row scope via the tags panel	375,1451,1878,1451,1878,1497,375,1497
103	Table 26: courses offered by Institution X. A = Bachelor of Science,	375,2057,2108,2057,2108,2103,375,2103
104	B = Bachelor of Arts, C = Masters, D = Doctorate, E = Diploma	375,2132,1975,2132,1975,2178,375,2178
105	 	377,2725,390,2725,390,2774,377,2774
